"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2025/06/03","39,410.0","39,540.0","39,260.0","39,260.0","+10.0","126,844","55,118","20,891","0.38","5.00","39,632.00","39,073.20","38,383.20","238,729","288,972","390,692"
"2025/06/02","39,420.0","39,420.0","39,110.0","39,250.0","-600.0","166,994","51,778","20,733","0.40","5.00","39,692.00","38,969.20","38,397.33","236,536","296,243","391,531"
"2025/05/30","39,620.0","39,920.0","39,550.0","39,850.0","-410.0","211,872","71,989","16,201","0.23","5.00","39,706.00","38,860.00","38,411.60","238,382","304,369","391,554"
"2025/05/29","39,980.0","40,290.0","39,920.0","40,260.0","+720.0","418,808","86,537","18,406","0.21","5.00","39,516.00","38,700.40","38,421.46","228,428","309,432","392,843"
"2025/05/28","39,940.0","40,000.0","39,510.0","39,540.0","-20.0","269,130","57,222","16,920","0.30","5.00","39,214.00","38,526.00","38,422.53","191,878","303,056","390,500"
"2025/05/27","39,340.0","39,570.0","39,200.0","39,560.0","+240.0","115,880","58,956","14,723","0.25","5.00","39,124.00","38,400.00","38,432.13","155,114","304,841","391,482"
"2025/05/26","38,990.0","39,320.0","38,940.0","39,320.0","+420.0","176,220","55,111","14,839","0.27","5.00","39,068.00","38,256.80","38,437.86","163,771","318,172","399,188"
"2025/05/23","38,900.0","39,160.0","38,880.0","38,900.0","+150.0","162,104","55,849","12,920","0.23","5.00","39,058.00","38,104.00","38,461.86","155,832","326,801","399,788"
"2025/05/22","38,690.0","38,870.0","38,580.0","38,750.0","-340.0","236,056","55,875","13,921","0.25","5.00","39,188.00","37,984.40","38,490.26","152,799","332,363","400,341"
"2025/05/21","39,390.0","39,450.0","39,080.0","39,090.0","-190.0","85,311","58,482","13,659","0.23","5.00","39,356.00","37,859.60","38,519.46","137,755","339,506","401,481"
"2025/05/20","39,530.0","39,730.0","39,240.0","39,280.0","+10.0","159,166","62,252","13,863","0.22","5.00","39,528.00","37,704.80","38,538.93","160,978","361,260","405,906"
"2025/05/19","39,380.0","39,440.0","39,230.0","39,270.0","-280.0","136,524","63,022","12,014","0.19","5.00","39,674.00","37,578.40","38,563.06","260,543","391,812","407,275"
"2025/05/16","39,560.0","39,590.0","39,260.0","39,550.0","-40.0","146,939","65,790","12,000","0.18","5.00","39,712.00","37,357.60","38,592.40","304,461","418,484","410,934"
"2025/05/15","39,580.0","39,670.0","39,430.0","39,590.0","-360.0","160,836","65,145","12,968","0.20","5.00","39,648.00","37,157.60","38,618.13","382,146","439,641","414,307"
"2025/05/14","40,130.0","40,190.0","39,660.0","39,950.0","-60.0","201,428","72,726","13,520","0.19","5.00","39,488.00","36,880.00","38,638.53","417,214","488,047","417,146"
"2025/05/13","40,320.0","40,350.0","40,010.0","40,010.0","+550.0","656,989","71,291","13,291","0.19","5.00","39,202.00","36,699.60","38,646.00","422,246","537,752","417,595"
"2025/05/12","39,500.0","39,510.0","39,200.0","39,460.0","+230.0","356,114","53,295","13,214","0.25","5.00","38,910.00","36,556.40","38,650.66","390,774","557,683","412,191"
"2025/05/09","39,200.0","39,350.0","39,030.0","39,230.0","+440.0","535,365","50,685","11,454","0.23","-","38,656.00","36,474.40","38,657.33","427,879","556,405","412,284"
"2025/05/08","38,680.0","38,830.0","38,420.0","38,790.0","+270.0","336,177","78,906","8,504","0.11","5.00","38,356.00","36,398.80","38,668.26","386,255","551,049","410,676"
"2025/05/07","38,700.0","38,760.0","38,470.0","38,520.0","-30.0","226,585","74,088","12,219","0.16","-","38,104.00","36,341.60","38,683.33","377,725","568,742","410,709"
"2025/05/02","38,370.0","38,730.0","38,360.0","38,550.0","+360.0","499,630","75,777","13,242","0.17","-","37,880.00","36,354.40","38,702.40","467,793","571,275","417,018"
"2025/05/01","37,900.0","38,280.0","37,750.0","38,190.0","+460.0","541,639","69,122","12,521","0.18","-","37,502.00","36,381.20","38,731.73","429,593","561,518","413,965"
"2025/04/30","37,640.0","37,750.0","37,490.0","37,730.0","+200.0","327,246","80,609","12,808","0.16","-","37,168.00","36,434.40","38,771.33","395,290","551,530","411,074"
"2025/04/28","37,670.0","37,780.0","37,460.0","37,530.0","+130.0","293,525","77,335","10,827","0.14","-","36,794.00","36,495.60","38,822.13","397,534","549,037","409,966"
"2025/04/25","37,150.0","37,530.0","37,070.0","37,400.0","+740.0","676,928","76,190","10,927","0.14","-","36,468.00","36,558.80","38,876.26","390,709","543,591","411,508"
"2025/04/24","36,950.0","36,960.0","36,610.0","36,660.0","+140.0","308,629","54,202","9,916","0.18","-","36,266.00","36,628.40","38,922.00","318,076","525,171","407,832"
"2025/04/23","36,850.0","36,870.0","36,320.0","36,520.0","+660.0","370,126","51,247","8,931","0.17","-","36,130.00","36,732.40","38,986.13","346,177","524,757","406,928"
"2025/04/22","35,790.0","35,970.0","35,730.0","35,860.0","-40.0","338,463","27,190","17,692","0.65","-","35,926.00","36,844.80","39,056.66","350,544","520,414","408,487"
"2025/04/21","36,130.0","36,240.0","35,830.0","35,900.0","-490.0","259,402","29,403","19,556","0.67","-","35,936.00","36,964.80","39,125.20","343,082","516,553","407,776"
"2025/04/18","36,110.0","36,400.0","35,870.0","36,390.0","+410.0","313,760","29,641","6,455","0.22","-","35,882.00","37,070.80","39,187.86","374,130","515,676","406,449"
"2025/04/17","35,610.0","36,010.0","35,550.0","35,980.0","+480.0","449,138","3,333","5,071","1.52","-","35,648.00","37,144.80","39,243.33","437,206","514,914","404,257"
"2025/04/16","35,860.0","35,920.0","35,260.0","35,500.0","-410.0","391,959","1,696","5,126","3.02","-","35,676.00","37,235.60","39,305.73","531,971","508,144","402,051"
"2025/04/15","35,990.0","36,100.0","35,900.0","35,910.0","+280.0","301,154","1,835","5,100","2.78","-","35,326.00","37,345.20","39,367.86","614,245","529,055","400,675"
"2025/04/14","35,590.0","35,950.0","35,490.0","35,630.0","+410.0","414,641","1,723","5,069","2.94","-","35,054.00","37,448.80","39,425.73","689,188","529,722","403,212"
"2025/04/11","34,360.0","35,280.0","34,190.0","35,220.0","-900.0","629,142","1,588","11,417","7.19","-","34,458.00","37,556.40","39,491.86","880,457","533,568","400,342"
"2025/04/10","36,380.0","36,520.0","35,730.0","36,120.0","+2,370.0","922,961","1,651","11,102","6.72","-","34,502.00","37,716.00","39,567.06","1,043,439","517,830","394,753"
"2025/04/09","33,680.0","33,780.0","32,750.0","33,750.0","-800.0","803,330","1,626","5,278","3.25","-","34,564.00","37,826.40","39,630.93","1,089,898","496,871","385,792"
"2025/04/08","34,020.0","34,840.0","34,020.0","34,550.0","+1,900.0","675,869","1,632","5,103","3.13","-","35,296.00","38,027.60","39,726.66","994,066","486,228","379,636"
"2025/04/07","32,450.0","33,490.0","32,110.0","32,650.0","-2,790.0","1,370,986","1,849","7,045","3.81","-","35,854.00","38,218.00","39,817.33","939,184","474,692","378,257"
