"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2025/06/03","22,700.0","22,875.0","22,400.0","22,400.0","-205.0","2,663,500","600","62,700","104.50","-","23,064.00","22,740.40","21,995.40","3,692,180","3,784,716","3,706,924"
"2025/06/02","23,020.0","23,050.0","22,515.0","22,605.0","-395.0","2,743,000","200","67,500","337.50","-","23,223.00","22,659.80","22,038.53","3,622,080","3,860,828","3,713,049"
"2025/05/30","23,500.0","23,680.0","23,000.0","23,000.0","-1,150.0","6,223,100","11,500","58,200","5.06","-","23,373.00","22,541.60","22,077.13","3,604,700","3,879,256","3,739,634"
"2025/05/29","24,030.0","24,150.0","23,615.0","24,150.0","+985.0","4,082,400","18,700","47,300","2.53","-","23,324.00","22,388.80","22,124.86","2,809,840","3,731,532","3,695,886"
"2025/05/28","23,640.0","23,760.0","23,145.0","23,165.0","-30.0","2,748,900","7,300","54,100","7.41","-","23,030.00","22,200.00","22,150.46","2,768,380","3,648,740","3,671,360"
"2025/05/27","23,350.0","23,350.0","22,950.0","23,195.0","-160.0","2,313,000","700","54,700","78.14","-","23,046.00","22,054.00","22,188.60","2,672,240","3,632,628","3,681,314"
"2025/05/26","22,810.0","23,545.0","22,805.0","23,355.0","+600.0","2,656,100","8,500","49,600","5.84","-","23,076.00","21,918.60","22,222.66","2,776,260","3,713,432","3,693,664"
"2025/05/23","23,000.0","23,025.0","22,705.0","22,755.0","+75.0","2,248,800","3,600","49,600","13.78","-","23,018.00","21,772.00","22,260.66","2,749,380","3,783,732","3,713,917"
"2025/05/22","22,770.0","22,830.0","22,375.0","22,680.0","-565.0","3,875,100","500","43,300","86.60","-","23,160.00","21,661.40","22,295.40","2,898,820","3,791,488","3,738,881"
"2025/05/21","23,250.0","23,450.0","23,155.0","23,245.0","-100.0","2,268,200","600","37,400","62.33","-","23,450.00","21,550.40","22,324.93","2,720,960","3,824,188","3,748,994"
"2025/05/20","23,145.0","23,625.0","23,140.0","23,345.0","+280.0","2,833,100","13,400","26,500","1.98","-","23,646.00","21,406.20","22,339.33","3,109,560","3,943,616","3,792,196"
"2025/05/19","23,060.0","23,310.0","22,950.0","23,065.0","-400.0","2,521,700","800","29,000","36.25","-","23,777.00","21,259.00","22,372.13","3,703,240","4,050,956","3,814,916"
"2025/05/16","23,810.0","23,895.0","23,320.0","23,465.0","-665.0","2,996,000","14,700","28,700","1.95","-","23,742.00","21,033.20","22,426.40","3,981,240","4,181,784","3,825,245"
"2025/05/15","23,955.0","24,220.0","23,805.0","24,130.0","-95.0","2,985,800","14,500","25,000","1.72","-","23,560.00","20,836.60","22,479.26","4,255,700","4,258,188","3,841,116"
"2025/05/14","24,460.0","24,560.0","23,815.0","24,225.0","+225.0","4,211,200","900","31,400","34.89","-","23,205.00","20,553.80","22,524.06","4,503,180","4,382,344","3,863,061"
"2025/05/13","24,000.0","24,255.0","23,615.0","24,000.0","+1,110.0","5,801,500","29,000","31,800","1.10","-","22,741.00","20,343.20","22,561.53","4,648,000","4,438,948","3,858,776"
"2025/05/12","22,820.0","23,060.0","22,550.0","22,890.0","+335.0","3,911,700","12,600","36,200","2.87","-","22,169.00","20,178.40","22,596.86","4,643,440","4,395,648","3,822,893"
"2025/05/09","22,725.0","22,750.0","22,155.0","22,555.0","+200.0","4,368,300","4,900","36,700","7.49","-","21,833.00","20,088.40","22,647.06","5,304,580","4,380,716","3,824,357"
"2025/05/08","22,295.0","22,570.0","21,995.0","22,355.0","+450.0","4,223,200","21,800","38,500","1.77","-","21,567.00","19,996.20","22,701.66","5,118,780","4,326,132","3,833,921"
"2025/05/07","21,555.0","21,940.0","21,310.0","21,905.0","+765.0","4,935,300","15,900","39,100","2.46","-","21,336.00","19,906.40","22,745.66","4,869,780","4,335,332","3,833,916"
"2025/05/02","21,700.0","21,885.0","20,990.0","21,140.0","-70.0","5,778,700","10,000","39,300","3.93","-","21,205.00","19,891.20","22,800.53","4,801,600","4,265,136","3,829,010"
"2025/05/01","21,530.0","21,565.0","20,570.0","21,210.0","-15.0","7,217,400","100","42,000","420.00","-","21,054.00","19,937.20","22,879.00","4,559,120","4,166,672","3,818,325"
"2025/04/30","21,000.0","21,230.0","20,785.0","21,225.0","+25.0","3,439,300","100","47,300","473.00","-","20,742.00","19,995.60","22,956.66","3,756,380","3,995,280","3,780,352"
"2025/04/28","21,630.0","21,645.0","21,110.0","21,200.0","-50.0","2,978,200","5,800","44,800","7.72","-","20,333.00","20,039.00","23,040.86","3,574,520","3,966,676","3,816,549"
"2025/04/25","21,245.0","21,365.0","20,815.0","21,250.0","+865.0","4,594,400","15,500","44,700","2.88","-","19,979.00","20,078.60","23,119.53","3,381,400","3,925,840","3,913,617"
"2025/04/24","20,185.0","20,555.0","20,115.0","20,385.0","+735.0","4,566,300","12,100","43,100","3.56","-","19,632.00","20,123.20","23,161.00","2,931,740","3,858,800","3,894,322"
"2025/04/23","19,960.0","19,985.0","19,470.0","19,650.0","+470.0","3,203,700","1,800","47,000","26.11","-","19,517.00","20,195.80","23,211.66","2,885,100","3,790,232","3,867,920"
"2025/04/22","19,340.0","19,485.0","19,090.0","19,180.0","-250.0","2,530,000","300","48,200","160.67","-","19,525.00","20,303.00","23,274.73","3,127,080","3,756,996","3,866,936"
"2025/04/21","19,370.0","19,640.0","19,250.0","19,430.0","-85.0","2,012,600","1,900","47,400","24.95","-","19,687.00","20,414.00","23,336.73","3,109,620","3,765,188","3,865,686"
"2025/04/18","19,600.0","19,745.0","19,310.0","19,515.0","-295.0","2,346,100","1,500","50,500","33.67","-","19,782.00","20,496.00","23,393.66","3,645,620","3,831,396","3,867,705"
"2025/04/17","19,710.0","19,915.0","19,190.0","19,810.0","+120.0","4,333,100","500","51,900","103.80","-","19,807.00","20,568.20","23,448.66","4,227,180","3,866,344","3,866,345"
"2025/04/16","19,890.0","20,000.0","19,425.0","19,690.0","-300.0","4,413,600","1,100","47,100","42.82","-","19,778.00","20,629.20","23,499.26","4,463,880","3,793,796","3,838,909"
"2025/04/15","20,000.0","20,220.0","19,930.0","19,990.0","+85.0","2,442,700","100","48,300","483.00","-","19,324.00","20,696.40","23,547.40","4,739,640","3,768,148","3,826,057"
"2025/04/14","20,240.0","20,660.0","19,710.0","19,905.0","+265.0","4,692,600","4,700","52,900","11.26","-","19,036.00","20,755.80","23,593.53","5,232,320","3,784,380","3,838,040"
"2025/04/11","18,590.0","19,765.0","18,415.0","19,640.0","-25.0","5,253,900","1,200","48,900","40.75","-","18,467.00","20,804.20","23,645.26","5,511,740","3,770,660","3,808,746"
"2025/04/10","20,220.0","20,250.0","19,310.0","19,665.0","+2,245.0","5,516,600","23,900","49,500","2.07","-","18,331.00","20,889.80","23,701.26","5,586,220","3,699,916","3,775,333"
"2025/04/09","17,800.0","17,950.0","17,110.0","17,420.0","-1,130.0","5,792,400","0","83,600","0.00","-","18,374.00","20,984.60","23,754.46","5,426,700","3,603,540","3,736,430"
"2025/04/08","17,720.0","18,865.0","17,680.0","18,550.0","+1,490.0","4,906,100","8,200","87,200","10.63","-","19,018.00","21,185.80","23,840.33","4,975,900","3,523,124","3,715,018"
"2025/04/07","16,560.0","17,650.0","16,560.0","17,060.0","-1,900.0","6,089,700","400","89,000","222.50","-","19,358.00","21,339.00","23,921.33","4,595,420","3,434,828","3,706,114"
"2025/04/04","19,540.0","19,700.0","18,600.0","18,960.0","-920.0","5,626,300","400","96,100","240.25","-","19,968.00","21,541.60","24,020.26","4,268,120","3,395,700","3,668,068"
"2025/04/03","19,240.0","19,930.0","19,170.0","19,880.0","-760.0","4,719,000","1,100","105,800","96.18","-","20,481.00","21,709.40","24,095.46","3,778,940","3,320,948","3,653,609"
"2025/04/02","20,350.0","20,850.0","20,315.0","20,640.0","+390.0","3,538,400","9,400","105,400","11.21","-","20,963.00","21,832.00","24,147.20","3,498,560","3,372,036","3,635,488"
"2025/04/01","20,190.0","20,440.0","19,950.0","20,250.0","+140.0","3,003,700","9,100","115,200","12.66","-","21,369.00","21,974.40","24,191.33","3,377,400","3,430,560","3,642,390"
"2025/03/31","20,560.0","20,650.0","20,100.0","20,110.0","-1,415.0","4,453,200","0","85,300","0.00","-","21,781.00","22,182.60","24,249.13","3,321,500","3,419,784","3,651,746"
"2025/03/28","21,810.0","21,840.0","21,285.0","21,525.0","-765.0","3,180,400","100","73,300","733.00","-","22,197.00","22,386.20","24,309.73","2,822,320","3,391,264","3,648,780"
"2025/03/27","22,410.0","22,590.0","22,170.0","22,290.0","-380.0","3,317,100","54,700","64,200","1.17","-","22,365.00","22,565.80","24,351.40","2,769,920","3,427,440","3,685,496"
"2025/03/26","22,810.0","22,875.0","22,500.0","22,670.0","+360.0","2,932,600","43,200","62,700","1.45","-","22,347.00","22,679.40","24,369.40","2,676,920","3,398,820","3,697,678"
"2025/03/25","22,770.0","23,010.0","22,250.0","22,310.0","+120.0","2,724,200","43,700","57,100","1.31","-","22,279.00","22,764.20","24,377.93","2,564,960","3,388,544","3,720,980"
"2025/03/24","22,390.0","22,390.0","22,150.0","22,190.0","-175.0","1,957,300","39,900","60,800","1.52","-","22,208.00","22,864.80","24,397.00","2,567,080","3,428,368","3,818,741"
"2025/03/21","22,070.0","22,600.0","22,070.0","22,365.0","+165.0","2,918,400","600","60,100","100.17","-","22,066.00","22,991.20","24,397.66","2,909,180","3,471,168","3,837,948"
"2025/03/19","22,290.0","22,665.0","22,200.0","22,200.0","-130.0","2,852,100","4,600","60,300","13.11","-","21,857.00","23,122.60","24,401.46","2,969,460","3,477,256","3,859,674"
"2025/03/18","22,410.0","22,460.0","22,170.0","22,330.0","+375.0","2,372,800","8,800","61,000","6.93","-","21,684.00","23,260.00","24,413.93","2,902,920","3,488,088","3,902,318"
"2025/03/17","21,850.0","22,220.0","21,760.0","21,955.0","+475.0","2,734,800","23,700","64,400","2.72","-","21,492.00","23,386.80","24,412.86","3,182,840","3,582,652","3,911,264"
"2025/03/14","21,015.0","21,555.0","20,965.0","21,480.0","+160.0","3,667,800","1,700","66,600","39.18","-","21,396.00","23,571.80","24,410.53","3,205,580","3,590,940","3,917,782"
"2025/03/13","21,695.0","21,835.0","21,290.0","21,320.0","-15.0","3,219,800","800","69,300","86.63","-","21,323.00","23,755.40","24,415.73","3,341,940","3,533,944","3,902,450"
"2025/03/12","21,250.0","21,535.0","21,130.0","21,335.0","-35.0","2,519,400","3,400","69,000","20.29","-","21,415.00","23,943.60","24,424.80","3,395,040","3,544,972","3,894,444"
"2025/03/11","21,005.0","21,370.0","20,635.0","21,370.0","-105.0","3,772,400","400","73,800","184.50","-","21,555.00","24,120.20","24,432.93","3,512,600","3,573,764","3,909,289"
"2025/03/10","21,000.0","21,680.0","21,000.0","21,475.0","+360.0","2,848,500","10,800","75,600","7.00","-","21,771.00","24,313.60","24,445.33","3,514,520","3,589,872","3,922,618"
