"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2025/06/03","1,127.0","1,131.0","1,113.5","1,124.0","-3.0","11,762,200","680,400","532,000","0.78","-","1,116.20","1,064.37","1,063.78","13,697,840","12,470,428","9,404,932"
"2025/06/02","1,109.0","1,134.0","1,108.0","1,127.0","-1.5","11,813,800","235,700","532,800","2.26","-","1,107.80","1,058.00","1,063.09","12,641,200","12,740,660","9,274,320"
"2025/05/30","1,095.0","1,138.0","1,095.0","1,128.5","+17.0","28,063,700","225,600","530,900","2.35","-","1,098.10","1,050.18","1,062.13","11,551,860","13,087,636","9,135,077"
"2025/05/29","1,100.0","1,118.0","1,099.0","1,111.5","+21.5","8,502,200","224,400","531,400","2.37","-","1,086.50","1,040.63","1,061.12","7,889,120","12,417,352","8,782,948"
"2025/05/28","1,097.5","1,104.0","1,086.5","1,090.0","+8.0","8,347,300","263,300","535,300","2.03","-","1,077.50","1,032.02","1,060.28","7,912,360","12,486,960","8,692,386"
"2025/05/27","1,077.5","1,082.0","1,066.5","1,082.0","+3.5","6,479,000","249,000","551,000","2.21","-","1,071.70","1,025.39","1,059.67","9,078,160","12,531,796","8,602,500"
"2025/05/26","1,080.5","1,083.5","1,070.0","1,078.5","+8.0","6,367,100","199,800","547,600","2.74","-","1,064.40","1,018.78","1,059.07","10,201,320","12,812,508","8,543,017"
"2025/05/23","1,067.0","1,075.5","1,062.0","1,070.5","+4.0","9,750,000","222,700","546,900","2.46","-","1,055.70","1,011.61","1,058.89","10,884,380","12,986,472","8,489,561"
"2025/05/22","1,048.0","1,067.0","1,041.5","1,066.5","+5.5","8,618,400","207,000","497,500","2.40","-","1,050.10","1,005.32","1,058.76","12,668,940","13,116,256","8,377,426"
"2025/05/21","1,056.0","1,078.0","1,052.5","1,061.0","+15.5","14,176,300","181,500","508,400","2.80","-","1,050.00","999.21","1,058.53","15,008,660","13,278,000","8,280,736"
"2025/05/20","1,037.0","1,051.5","1,025.5","1,045.5","+10.5","12,094,800","216,900","506,300","2.33","-","1,061.40","993.13","1,058.38","13,668,840","13,423,724","8,121,334"
