"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2025/06/03","817.0","824.0","806.2","816.0","-4.7","15,621,100","262,500","5,615,200","21.39","-","806.80","827.44","858.91","20,236,460","20,500,596","21,269,793"
"2025/06/02","796.0","822.8","787.1","820.7","+22.1","31,099,600","266,000","5,846,200","21.98","-","802.62","826.24","861.06","20,923,620","20,629,512","21,248,273"
"2025/05/30","795.2","800.2","791.5","798.6","-5.4","24,998,600","275,100","6,242,700","22.69","-","801.20","824.22","863.32","17,401,220","19,882,756","21,009,156"
"2025/05/29","795.0","812.0","794.9","804.0","+9.3","17,201,800","265,900","6,021,700","22.65","-","801.88","822.44","865.90","16,007,540","19,508,596","20,898,884"
"2025/05/28","800.0","803.2","794.7","794.7","-0.4","12,261,200","267,200","6,619,900","24.78","-","801.12","821.33","868.04","15,555,560","19,158,800","20,807,730"
"2025/05/27","808.8","812.8","793.5","795.1","-18.5","19,056,900","266,800","6,666,800","24.99","-","806.42","820.90","870.29","16,590,240","19,144,884","20,834,700"
"2025/05/26","808.2","818.0","805.3","813.6","+11.6","13,487,600","265,800","5,834,100","21.95","-","808.00","820.38","872.53","15,667,440","18,931,480","20,814,634"
"2025/05/23","800.1","820.3","799.5","802.0","+1.8","18,030,200","265,300","5,952,800","22.44","-","806.88","818.22","874.78","17,516,220","18,987,460","20,891,554"
"2025/05/22","806.7","815.0","800.2","800.2","-21.0","14,941,900","266,200","6,269,100","23.55","-","803.38","816.99","877.48","19,977,620","18,748,780","20,923,026"
"2025/05/21","805.4","822.6","799.3","821.2","+18.2","17,434,600","266,600","6,272,700","23.53","-","804.56","815.84","880.10","28,926,920","18,876,496","21,059,570"
"2025/05/20","808.0","811.0","798.3","803.0","-5.0","14,442,900","259,800","6,839,000","26.32","-","817.12","813.97","882.20","28,466,420","19,306,692","21,122,286"
"2025/05/19","798.0","808.3","790.8","808.0","+23.5","22,731,500","414,400","6,692,400","16.15","-","833.44","813.44","884.12","28,534,960","19,739,764","21,185,318"
"2025/05/16","804.7","808.6","780.0","784.5","-21.6","30,337,200","266,200","6,969,300","26.18","-","848.68","810.07","885.76","26,732,420","19,891,784","21,203,782"
"2025/05/15","811.0","834.4","795.2","806.1","-77.9","59,688,400","317,100","6,406,100","20.20","-","870.48","809.19","887.51","24,260,900","19,803,732","21,106,113"
"2025/05/14","888.8","891.9","874.5","884.0","-0.6","15,132,100","450,900","4,213,800","9.35","-","886.00","805.38","889.10","17,191,680","18,931,292","20,638,613"
"2025/05/13","895.0","898.8","884.1","884.6","+0.4","14,785,600","421,300","4,040,000","9.59","-","880.54","801.84","889.33","18,246,440","19,416,940","20,682,618"
"2025/05/12","897.9","901.0","873.9","884.2","-9.3","13,718,800","421,100","3,947,200","9.37","-","869.84","799.33","889.56","18,069,880","19,623,388","20,758,385"
"2025/05/09","881.5","896.0","876.5","893.5","+9.8","17,979,600","419,800","3,775,200","8.99","-","859.28","797.16","889.68","19,496,060","19,930,884","20,780,197"
"2025/05/08","871.4","884.4","861.9","883.7","+27.0","24,342,300","405,500","4,055,200","10.00","-","848.48","795.22","889.76","20,416,680","19,828,864","20,833,838"
"2025/05/07","850.0","857.8","844.3","856.7","+25.6","20,405,900","325,300","3,929,700","12.08","-","836.70","793.92","889.89","19,275,760","19,771,876","20,746,660"
"2025/05/02","825.0","834.1","819.8","831.1","-0.3","13,902,800","272,000","4,739,200","17.42","-","826.36","795.04","890.49","18,963,420","19,664,900","20,697,686"
"2025/05/01","845.0","851.4","830.2","831.4","-8.1","20,849,700","268,200","4,754,900","17.73","-","817.34","797.91","891.60","19,951,660","19,593,888","20,901,529"
"2025/04/30","824.8","841.9","815.4","839.5","+14.7","22,582,700","227,800","4,761,100","20.90","-","805.10","800.88","892.99","18,267,860","19,243,040","21,120,097"
"2025/04/28","815.0","829.3","811.4","824.8","+19.8","18,637,700","212,800","4,477,600","21.04","-","788.00","803.54","894.06","16,880,240","18,911,336","21,444,228"
