"日付","始値","高値","安値","終値","出来高","5DVMA","25DVMA","75DVMA"
"2025/06/03","2,781.62","2,786.77","2,771.06","2,771.11","174,878","202,812","201,851","206,128"
"2025/06/02","2,783.94","2,785.26","2,766.46","2,777.29","178,362","195,815","202,618","206,557"
"2025/05/30","2,780.40","2,810.22","2,775.81","2,801.57","279,003","190,159","202,942","207,162"
"2025/05/29","2,788.11","2,814.70","2,787.06","2,812.02","194,978","167,326","197,710","206,447"
"2025/05/28","2,793.15","2,797.64","2,769.51","2,769.51","186,839","163,085","195,852","206,894"
"2025/05/27","2,750.54","2,772.94","2,746.46","2,769.49","139,897","163,233","194,521","207,388"
"2025/05/26","2,740.87","2,755.67","2,738.26","2,751.91","150,078","175,100","195,397","208,924"
"2025/05/23","2,727.54","2,743.68","2,726.21","2,735.52","164,841","180,040","196,206","209,543"
"2025/05/22","2,713.71","2,725.27","2,707.06","2,717.09","173,771","187,485","196,155","209,885"
"2025/05/21","2,747.68","2,752.56","2,731.33","2,732.88","187,579","194,708","196,219","209,983"
"2025/05/20","2,754.52","2,760.95","2,732.54","2,738.83","199,231","204,004","198,634","210,230"
"2025/05/19","2,734.69","2,744.70","2,730.60","2,738.39","174,779","215,520","201,754","210,096"
"2025/05/16","2,745.51","2,746.07","2,724.61","2,740.45","202,068","225,041","205,884","210,385"
"2025/05/15","2,747.71","2,750.97","2,731.54","2,738.96","209,883","239,095","208,538","210,315"
"2025/05/14","2,769.56","2,772.53","2,736.30","2,763.29","234,062","236,747","214,923","209,984"
"2025/05/13","2,774.53","2,794.96","2,772.13","2,772.14","256,810","234,423","218,583","209,032"
"2025/05/12","2,745.23","2,747.93","2,724.94","2,742.08","222,386","223,866","219,352","207,729"
"2025/05/09","2,724.83","2,738.59","2,721.05","2,733.49","272,335","217,905","218,086","207,220"
"2025/05/08","2,698.61","2,702.23","2,675.85","2,698.72","198,146","210,465","214,466","206,075"
"2025/05/07","2,698.57","2,704.71","2,685.90","2,696.16","222,438","210,978","216,123","205,702"
"2025/05/02","2,684.81","2,704.46","2,678.15","2,687.78","204,026","204,783","215,182","205,470"
"2025/05/01","2,670.39","2,685.02","2,659.05","2,679.44","192,580","202,787","215,425","205,161"
"2025/04/30","2,663.68","2,672.43","2,652.81","2,667.29","235,137","201,564","214,850","205,151"
"2025/04/28","2,648.04","2,667.11","2,644.16","2,650.61","200,711","184,179","212,056","204,579"
"2025/04/25","2,613.26","2,638.14","2,609.74","2,628.03","191,465","173,741","210,457","204,633"
"2025/04/24","2,606.41","2,610.63","2,586.96","2,592.56","194,046","166,163","213,126","204,884"
"2025/04/23","2,572.96","2,592.65","2,570.32","2,584.32","186,464","159,711","212,312","204,577"
"2025/04/22","2,516.40","2,536.06","2,516.36","2,532.12","148,209","156,478","212,726","205,051"
"2025/04/21","2,547.81","2,550.18","2,521.35","2,528.93","148,523","159,552","214,651","205,823"
"2025/04/18","2,538.87","2,560.67","2,528.24","2,559.15","153,577","164,922","216,660","206,333"
"2025/04/17","2,499.47","2,530.23","2,494.35","2,530.23","161,785","183,797","217,934","206,913"
"2025/04/16","2,515.81","2,523.96","2,477.56","2,498.03","170,299","206,886","219,344","207,300"
"2025/04/15","2,518.78","2,527.51","2,512.99","2,513.35","163,576","228,432","221,865","208,776"
"2025/04/14","2,496.88","2,516.74","2,488.51","2,488.51","175,377","249,398","222,464","209,791"
"2025/04/11","2,491.06","2,491.74","2,404.07","2,466.91","247,948","288,224","223,783","210,369"
"2025/04/10","2,395.14","2,545.31","2,394.66","2,539.40","277,234","303,752","221,950","209,777"
"2025/04/09","2,395.24","2,397.81","2,318.53","2,349.33","278,028","303,510","218,853","208,308"
"2025/04/08","2,330.47","2,452.78","2,329.93","2,432.02","268,406","286,049","215,904","207,449"
"2025/04/07","2,432.24","2,432.78","2,243.21","2,288.66","369,507","268,737","212,538","206,619"
"2025/04/04","2,534.73","2,536.51","2,436.88","2,482.06","325,586","242,752","208,935","204,138"
"2025/04/03","2,599.70","2,600.20","2,536.08","2,568.61","276,027","217,416","203,404","202,249"
"2025/04/02","2,666.70","2,666.70","2,630.52","2,650.29","190,720","204,231","200,031","201,158"
"2025/04/01","2,689.77","2,697.33","2,655.61","2,661.73","181,849","201,728","200,607","200,709"
"2025/03/31","2,709.86","2,709.86","2,648.93","2,658.73","239,578","198,416","201,472","200,898"
"2025/03/28","2,778.45","2,780.34","2,743.65","2,757.25","198,910","182,644","199,753","200,516"
"2025/03/27","2,794.77","2,815.47","2,785.93","2,815.47","210,098","194,501","199,681","200,917"
"2025/03/26","2,816.85","2,821.90","2,800.17","2,812.89","178,206","187,221","198,963","200,522"
"2025/03/25","2,811.65","2,818.36","2,790.05","2,797.52","165,291","190,945","199,674","200,453"
"2025/03/24","2,809.15","2,810.79","2,790.29","2,790.88","160,718","197,153","201,609","200,590"
"2025/03/21","2,785.57","2,818.04","2,785.57","2,804.16","258,194","204,760","203,600","201,024"
"2025/03/19","2,789.31","2,813.21","2,788.80","2,795.96","173,698","190,204","203,407","200,278"
