"日付","始値","高値","安値","終値","買スワップ","売スワップ"
"2025/06/03","142.636","144.111","142.374","144.004","157","-165"
"2025/06/02","143.731","143.988","142.538","142.682","158","-166"
"2025/05/30","144.165","144.442","143.436","144.056","158","-166"
"2025/05/29","144.782","146.282","143.962","144.167","477","-501"
"2025/05/28","144.328","145.080","143.843","144.878","156","-164"
"2025/05/27","142.841","144.457","142.112","144.339","157","-165"
"2025/05/26","142.456","143.079","142.223","142.828","156","-164"
"2025/05/23","144.052","144.094","142.423","142.575","0","0"
"2025/05/22","143.545","144.399","142.799","143.999","632","-664"
"2025/05/21","144.524","144.599","143.284","143.683","159","-167"
"2025/05/20","144.817","145.516","144.082","144.516","159","-167"
"2025/05/19","145.450","145.461","144.660","144.874","159","-167"
"2025/05/16","145.646","146.101","144.914","145.632","157","-165"
"2025/05/15","146.559","146.748","145.407","145.655","483","-507"
"2025/05/14","147.419","147.670","145.591","146.766","161","-169"
"2025/05/13","148.407","148.459","147.375","147.456","160","-168"
"2025/05/12","146.149","148.650","145.703","148.467","158","-166"
"2025/05/09","145.811","146.190","144.822","145.378","157","-165"
"2025/05/08","143.739","146.179","143.443","145.900","474","-498"
"2025/05/07","142.446","143.997","142.376","143.836","158","-166"
"2025/05/06","143.689","144.277","142.352","142.395","0","0"
"2025/05/05","144.844","144.991","143.540","143.717","0","0"
"2025/05/02","145.425","145.928","143.724","144.861","156","-164"
"2025/05/01","142.965","145.737","142.874","145.348","775","-815"
"2025/04/30","142.271","143.189","142.159","143.067","155","-163"
"2025/04/29","142.000","142.759","141.968","142.369","0","0"
"2025/04/28","143.582","143.893","141.982","142.004","154","-162"
"2025/04/25","142.556","144.026","142.495","143.740","308","-324"
"2025/04/24","143.375","143.399","142.279","142.565","462","-486"
"2025/04/23","141.464","143.579","141.449","143.475","154","-162"
"2025/04/22","140.882","141.667","139.890","141.620","155","-163"
"2025/04/21","141.907","142.110","140.471","140.887","155","-163"
"2025/04/18","142.375","142.490","142.096","142.127","154","-162"
"2025/04/17","141.783","143.079","141.609","142.491","465","-489"
"2025/04/16","143.197","143.281","141.644","141.899","155","-163"
"2025/04/15","142.979","143.594","142.598","143.243","157","-165"
"2025/04/14","143.654","144.089","142.240","143.055","158","-166"
"2025/04/11","144.529","144.640","142.053","143.572","157","-165"
"2025/04/10","147.788","147.818","144.017","144.597","480","-504"
"2025/04/09","146.196","148.274","143.996","147.737","160","-168"
"2025/04/08","147.886","148.121","145.963","146.286","160","-168"
"2025/04/07","145.651","148.142","144.813","147.835","160","-168"
"2025/04/04","146.014","147.433","144.548","146.896","160","-168"
"2025/04/03","149.126","149.167","145.183","146.074","480","-504"
"2025/04/02","149.556","150.482","149.101","149.367","160","-168"
"2025/04/01","149.921","150.139","148.977","149.615","160","-168"
"2025/03/31","149.628","150.267","148.696","149.971","163","-171"
"2025/03/28","150.983","151.211","149.683","149.860","200","-208"
"2025/03/27","150.535","151.157","150.059","151.055","483","-507"
"2025/03/26","149.858","150.746","149.839","150.573","161","-169"
"2025/03/25","150.602","150.944","149.546","149.909","161","-169"
"2025/03/24","149.368","150.757","149.366","150.686","161","-169"
"2025/03/21","148.709","149.665","148.582","149.319","161","-169"
"2025/03/20","148.684","148.961","148.176","148.774","0","0"
"2025/03/19","149.229","150.149","148.602","148.619","480","-504"
"2025/03/18","149.166","149.935","149.098","149.297","320","-336"
"2025/03/17","148.728","149.283","148.213","149.176","159","-167"
"2025/03/14","147.704","149.022","147.703","148.605","160","-168"
"2025/03/13","148.225","148.374","147.410","147.800","480","-504"
"2025/03/12","147.761","149.194","147.605","148.308","161","-169"
"2025/03/11","147.265","148.116","146.545","147.760","161","-169"
"2025/03/10","147.624","147.853","146.628","147.293","163","-171"
"2025/03/07","147.934","148.201","146.947","148.022","163","-171"
"2025/03/06","148.737","149.324","147.310","147.980","492","-516"
"2025/03/05","149.709","150.184","148.392","148.834","165","-173"
"2025/03/04","149.631","149.880","148.092","149.824","167","-175"
"2025/03/03","150.679","151.305","149.095","149.494","163","-171"
"2025/02/28","149.769","150.987","149.095","150.580","163","-171"
"2025/02/27","149.044","150.159","148.742","149.805","522","-546"
"2025/02/26","148.971","149.888","148.620","149.117","164","-172"
"2025/02/25","149.699","150.301","148.547","149.016","165","-173"
"2025/02/24","149.249","149.875","148.841","149.729","0","0"
"2025/02/21","149.557","150.737","148.924","149.328","165","-173"
"2025/02/20","151.393","151.432","149.397","149.612","660","-692"
"2025/02/19","151.953","152.310","151.242","151.488","166","-174"
"2025/02/18","151.468","152.224","151.229","152.085","168","-176"
"2025/02/17","152.201","152.384","151.339","151.513","158","-166"
"2025/02/14","152.762","153.156","152.027","152.354","0","0"
"2025/02/13","154.323","154.671","152.702","152.779","632","-656"
"2025/02/12","152.389","154.803","152.379","154.424","158","-164"
"2025/02/11","151.919","152.605","151.644","152.499","0","0"
"2025/02/10","151.243","152.539","151.231","151.999","155","-161"
"2025/02/07","151.407","152.420","150.930","151.449","316","-328"
"2025/02/06","152.513","152.894","151.235","151.458","483","-501"
"2025/02/05","154.319","154.462","152.108","152.613","161","-167"
"2025/02/04","154.695","155.521","154.171","154.317","161","-167"
"2025/02/03","154.738","155.883","154.008","154.863","161","-167"
"2025/01/31","154.191","155.221","153.915","155.191","161","-167"
"2025/01/30","155.190","155.241","153.781","154.293","519","-537"
"2025/01/29","155.503","155.791","154.935","155.256","173","-179"
"2025/01/28","154.473","155.971","154.473","155.520","161","-167"
"2025/01/27","155.696","156.245","153.718","154.522","161","-167"
"2025/01/24","156.027","156.571","154.843","155.941","204","-210"
"2025/01/23","156.397","156.750","155.745","156.056","630","-648"
"2025/01/22","155.465","156.707","155.352","156.545","165","-171"
"2025/01/21","155.576","156.227","154.763","155.505","165","-171"
"2025/01/20","156.223","156.587","155.408","155.600","165","-171"
"2025/01/17","155.105","156.373","154.976","156.276","0","0"
"2025/01/16","156.331","156.526","155.098","155.132","660","-684"
"2025/01/15","158.022","158.087","155.933","156.475","215","-221"
"2025/01/14","157.444","158.197","157.106","157.968","168","-174"
"2025/01/13","157.629","157.966","156.914","157.539","0","0"
"2025/01/10","158.066","158.872","157.225","157.752","229","-235"
"2025/01/09","158.265","158.399","157.575","158.124","916","-940"
